Title,View,View1,shortprofile,shortprofile2
Card related queries,American Express®® Credit Card,"For all my card related queries, I get a 24/7 assistance with the helpline number.","Lara
Posted on: Aug 6, 2019",Lara
Taj hotel dining privileges,American Express®® Credit Card,Especially in awe with the Taj hotel dining privileges. So elite!,"Taran
Posted on: Aug 6, 2019",Taran
Purchase protection,American Express®® Credit Card,One of the finest benefit of this credit card is that it always comes with purchase protection.,"Vivek
Posted on: Aug 6, 2019",Vivek
The golfing benefits,American Express®® Credit Card,The golfing benefits of this card are the best I could have gotten! Love it!!,"Daman
Posted on: Aug 6, 2019",Daman
Stolen,American Express®® Credit Card,"In case any item purchased using this credit card gets stolen or damaged within the 60 days of purchase, my entire amount will get refunded.","Shiva
Posted on: Aug 6, 2019",Shiva
Super content,American Express®® Credit Card,"Super content and satiated with the abundant benefits, schemes and offers available with this card.","Seema
Posted on: Aug 6, 2019",Seema
Best card,American Express®® Credit Card,Can say it with due conviction that this is the best card that I have used in a really long time.,"Brij
Posted on: Aug 6, 2019",Brij
Best feature,American Express®® Credit Card,The best feature of this card is that everything I buy with it comes with purchase protection.,"Bhavin
Posted on: Aug 6, 2019",Bhavin
Super like the offers,American Express®® Credit Card,Super like the offers and benefits that I am getting with my AMEX card.,"Shekhar
Posted on: Aug 6, 2019",Shekhar
Totally appreciate,American Express®® Credit Card,Totally appreciate the fine degree in benefits that I receive with my card.,"Tarika
Posted on: Aug 6, 2019",Tarika
Rewards redemption program,American Express®® Credit Card,The rewards redemption program of this card is the best!,"Mrinal
Posted on: Aug 6, 2019",Mrinal
Comprehensive,American Express®® Credit Card,Just the most comprehensive and complete reward and utility based card.,"Kairav
Posted on: Aug 6, 2019",Kairav
Welcome benefits,American Express®® Credit Card,"This credit card fetches me some amazing welcome benefits, offers and discounts.","Chandresh
Posted on: Aug 6, 2019",Chandresh
No better concierge assistance,American Express®® Credit Card,There hasn't been a better concierge assistance that I have experienced with any other bank than this one.,"Neena
Posted on: Aug 6, 2019",Neena
Massive degree in discounts,American Express®® Credit Card,"Love the massive degree in discounts, deals and benefits made available with this card.","Mohan
Posted on: Aug 6, 2019",Mohan
Diversity in offers,American Express®® Credit Card,Just can't get over the diversity in offers made available with this card.,"Sodhi
Posted on: Aug 6, 2019",Sodhi
Super like,American Express®® Credit Card,Super like the abundant benefits made available with this card.,"Sona
Posted on: Aug 6, 2019",Sona
Perfect utility,American Express®® Credit Card,"This credit card has the perfect utility. Can be used anytime, anywhere.","Umesh
Posted on: Aug 6, 2019",Umesh
Globally accepted,American Express®® Credit Card,This is a globally accepted card. Perfect for all types of spending.,"Popat
Posted on: Aug 6, 2019",Popat
Love the fine benefits,American Express®® Credit Card,Love the fine benefits that I am getting with the Amex dedicated Platinum concierge services.,"Komal
Posted on: Aug 6, 2019",Komal
Variety in complimentary memberships,American Express®® Credit Card,There is a variety in complimentary memberships that I get with my card.,"Roza
Posted on: Aug 6, 2019",Roza
Love it,American Express®® Credit Card,"Made full use of the concierge services. It helps me so many things, love it!","Mahika
Posted on: Aug 6, 2019",Mahika
Everything is so easy,American Express®® Credit Card,"Be it arranging of a golf round to booking of a vehicle, everything is so easy with this AMEX card.","Erica
Posted on: Aug 6, 2019",Erica
Fine variety,American Express®® Credit Card,No card offers me such a fine variety in benefits like this one.,"Pintu
Posted on: Aug 6, 2019",Pintu
Amazon voucher,American Express®® Credit Card,Happy with the free Amazon voucher that I got with my card.,"Alok
Posted on: Aug 6, 2019",Alok
Platinum concierge services,American Express®® Credit Card,Amex provides dedicated Platinum concierge services. They brings in fine benefits.,"Pankaj
Posted on: Aug 6, 2019",Pankaj
Using the concierge services,American Express®® Credit Card,"Using the concierge services, I can get assistance for various bookings like movies, dining reservations, flowers or gifts, golf rounds, etc","Adesh
Posted on: Aug 6, 2019",Adesh
Amex,American Express®® Credit Card,"From arranging a golf round to booking a vehicle, Amex provides dedicated Platinum concierge services.","Amrish
Posted on: Aug 6, 2019",Amrish
Supplementary cards,American Express®® Credit Card,I got an option of 4 supplementary cards with my AMEX card.,"Savi
Posted on: Aug 6, 2019",Savi
Glad,American Express®® Credit Card,"Glad that when my spending was over 25,000, these guys gave me a free shopping voucher.","Mangesh
Posted on: Aug 6, 2019",Mangesh
Happy,American Express®® Credit Card,Happy with the Flipkart voucher that I got as a complimentary benefit of this card.,"Meera
Posted on: Aug 6, 2019",Meera
I was sick,American Express®® Credit Card,I was sick for long and was later admitted to Fortis healthcare wherein I got a good discount with my card.,"Ali
Posted on: Aug 6, 2019",Ali
Happy,American Express®® Credit Card,I totally like this credit card. It is perfect! Happy!,"Harry
Posted on: Aug 6, 2019",Harry
Comprehensive scheme,American Express®® Credit Card,Just haven't seen a more comprehensive scheme of credit card. Love it!,"Uma
Posted on: Aug 6, 2019",Uma
Free voucher,American Express®® Credit Card,"In a month my spending was over 25,000 so I got a free voucher worth 500 INR.","Farida
Posted on: Aug 6, 2019",Farida
Complimentary add on cards,American Express®® Credit Card,I get 4 complimentary add on cards with my AMEX card. Love it!,"Kabir
Posted on: Aug 6, 2019",Kabir
Premium healthcare,American Express®® Credit Card,"On premium healthcare brands like Max healthcare, I get some good discounts.","Palki
Posted on: Aug 6, 2019",Palki
I got a voucher,American Express®® Credit Card,"I got a voucher worth 500 when my spending was over 25,000 in the last month.","Amrish
Posted on: Aug 6, 2019",Amrish
Super happy,American Express®® Credit Card,"Super happy with the abundant benefits, rewards and vouchers available with this card.","Parvesh
Posted on: Aug 6, 2019",Parvesh
Complimentary add on benefit card,American Express®® Credit Card,This is the only card that I have seen which provides me 4 complimentary add on benefit card.,"Kishna
Posted on: Aug 6, 2019",Kishna
Zero green fee,American Express®® Credit Card,I enjoy a zero green fee at all the domestic golf courses across India.,"Zoya
Posted on: Aug 6, 2019",Zoya
Complimentary voucher of BMS,American Express®® Credit Card,"On the spending of over 25,000 in a month, I get a complimentary voucher of BMS.","Gita
Posted on: Aug 6, 2019",Gita
Golf lessons,American Express®® Credit Card,"With my AMEX card, get golf lessons at discounted rates.","Gitesh
Posted on: Aug 6, 2019",Gitesh
Abundant healthcare benefits,American Express®® Credit Card,"Love the abundant healthcare benefits that I get on premium healthcare brands like Max Healthcare, Fortis Healthcare, and Texas Medical Concierge.","Anusha
Posted on: Aug 6, 2019",Anusha
Premier golf courses in India,American Express®® Credit Card,I can now enjoy golfing with the complimentary access to 25 premier golf courses in India.,"Pavni
Posted on: Aug 6, 2019",Pavni
Reward redemption,American Express®® Credit Card,No card offers such a diverse ways of reward redemption. This one is the best!,"Mukti
Posted on: Aug 6, 2019",Mukti
So perfect,American Express®® Credit Card,Happy that I could easily redeem my reward points against the flight bookings. So perfect!,"Sapna
Posted on: Aug 6, 2019",Sapna
Benefits,American Express®® Credit Card,The reason I feel and believe this card is perfect because of the degree of benefits I get with my card.,"Bhavesh
Posted on: Aug 6, 2019",Bhavesh
Love the complimentary access,American Express®® Credit Card,Love the complimentary access to 25 premier golf courses in India that I get with my card.,"Mridul
Posted on: Aug 6, 2019",Mridul
Zero green fee applicable,American Express®® Credit Card,There is a zero green fee applicable on all the domestic golf courses in India.,"Zaveri
Posted on: Aug 6, 2019",Zaveri
Book my flight tickets,American Express®® Credit Card,I could book my flight tickets by redeeming the points accrued on my card.,"Bhanu
Posted on: Aug 6, 2019",Bhanu
I love golfing,American Express®® Credit Card,I love golfing and the golfing benefits of this card are the best!,"Alisha
Posted on: Aug 6, 2019",Alisha
Max Healthcare,American Express®® Credit Card,"On the premium health brands like Max Healthcare, Fortis Healthcare, and Texas Medical Concierge, I get some fascinating healthcare benefits.","Maheep
Posted on: Aug 6, 2019",Maheep
Switched,American Express®® Credit Card,Cannot tell you how relieved I feel ever since I made a switch to this credit card.,"Sheena
Posted on: Aug 6, 2019",Sheena
Benefits and rewards,American Express®® Credit Card,"Not only can you get vouchers, deals, benefits and rewards with this card but it also fetches an abundant variety in cashback offers.","Bhanu
Posted on: Aug 6, 2019",Bhanu
Enjoy zero green fee,American Express®® Credit Card,"At all the domestic golf courses, I enjoy zero green fee.","Anika
Posted on: Aug 6, 2019",Anika
Complimentary access,American Express®® Credit Card,"With my credit card, I am now getting complimentary access to 25 premier golf courses in India.","Charu
Posted on: Aug 6, 2019",Charu
Happy,American Express®® Credit Card,"Happy that I can redeem my vouchers across various categories including travel, accessories, dining and more.","Honey
Posted on: Aug 6, 2019",Honey
Amazon gift voucher,American Express®® Credit Card,The Amazon gift voucher of INR 1000 came as a complimentary gift for me.,"Amaira
Posted on: Aug 6, 2019",Amaira
Texas Medical Concierge,American Express®® Credit Card,The Texas Medical Concierge is by far the best benefit I have noted with my card.,"Tara
Posted on: Aug 6, 2019",Tara
Health and the wellness benefits,American Express®® Credit Card,The health and the wellness benefits that I get with this card are the best I have seen.,"Hardika
Posted on: Aug 6, 2019",Hardika
Cheaper flight tickets,American Express®® Credit Card,Happy that I could get cheaper flight tickets when I used the 'Pay with Points' option against the flights.,"Chhaya
Posted on: Aug 6, 2019",Chhaya
